GPRIN2	HNRNPA2B1	MAP3K8	HMMR	METRNL	GPI	RNF217	SMOX	F2RL1	LGR4	SLIRP	MTHFS
CV_46	-0.0972103148473289	0.282999985031022	-0.196838003263806	0.19290605361043	0.186437262446833	0.223905354124385	0.13424072703721	0.123591925053609	0.110103094782717	0.126100896817448	0.256179482419037	0.185722139477016
CV_47	-0.0968038095989675	0.278102626823266	-0.196189170013145	0.191072128487943	0.184692598842242	0.221720444940241	0.132953353720153	0.123315316775988	0.109377314845292	0.124737458273575	0.252857320553255	0.18509771967457
CV_48	-0.0985072502671505	0.298541351068797	-0.198940796086509	0.198682708496151	0.192021719148386	0.230731814669282	0.138310040962889	0.124498460374714	0.11242622708003	0.130411098564583	0.266770025868713	0.187724633480234
CV_49	-0.0947349356704034	0.253485740626303	-0.192862403232996	0.181854345312678	0.175863305718912	0.210899132703991	0.126433958089182	0.121861179427049	0.105743808140782	0.117849705847777	0.236015888149463	0.181854077003831
CV_50	-0.0963514683333162	0.272913462307346	-0.195446440427805	0.189115367666734	0.182766559814751	0.219489949991627	0.131564667701882	0.122982716124464	0.108588407893783	0.123275045272472	0.249225645239128	0.184389408251032
CV_51	-0.099734002353632	0.313463470776571	-0.200922906010595	0.204190034882434	0.197336966772749	0.237322251796938	0.142169809023062	0.125338383489713	0.114657733366077	0.134512590651855	0.276837665636899	0.189597192903465
CV_52	-0.0730840863988731	0.0870003678085011	-0.148006561027548	0.118529103402324	0.0934263324107769	0.143541852530729	0.0676882174355976	0.109504806184445	0.0812001170534674	0.0663899513307982	0.101373955079406	0.144383788209338
CV_53	-0.0968038095989675	0.278102626823266	-0.196189170013145	0.191072128487943	0.184692598842242	0.221720444940241	0.132953353720153	0.123315316775988	0.109377314845292	0.124737458273575	0.252857320553255	0.18509771967457
CV_54	-0.0985072502671505	0.298541351068797	-0.198940796086509	0.198682708496151	0.192021719148386	0.230731814669282	0.138310040962889	0.124498460374714	0.11242622708003	0.130411098564583	0.266770025868713	0.187724633480234
CV_55	-0.0975799163142018	0.287476343689784	-0.197428616971686	0.194576436147682	0.188027672909546	0.225904103678406	0.135413194952962	0.123842838477688	0.110766905919001	0.127344210007211	0.259209449164761	0.186289570078954
CV_56	-0.0963514683333162	0.272913462307346	-0.195446440427805	0.189115367666734	0.182766559814751	0.219489949991627	0.131564667701882	0.122982716124464	0.108588407893783	0.123275045272472	0.249225645239128	0.184389408251032
CV_57	-0.070210933721936	0.0802484976075589	-0.139009101184812	0.118494558063439	0.0849606951766184	0.142291584306354	0.0621173055532986	0.108913683441072	0.0800022952721114	0.063852366583192	0.091434909050357	0.138459107622891
CV_58	-0.099734002353632	0.313463470776571	-0.200922906010595	0.204190034882434	0.197336966772749	0.237322251796938	0.142169809023062	0.125338383489713	0.114657733366077	0.134512590651855	0.276837665636899	0.189597192903465
CV_59	-0.0963514683333162	0.272913462307346	-0.195446440427805	0.189115367666734	0.182766559814751	0.219489949991627	0.131564667701882	0.122982716124464	0.108588407893783	0.123275045272472	0.249225645239128	0.184389408251032
CV_60	-0.0968038095989675	0.278102626823266	-0.196189170013145	0.191072128487943	0.184692598842242	0.221720444940241	0.132953353720153	0.123315316775988	0.109377314845292	0.124737458273575	0.252857320553255	0.18509771967457
CV_61	-0.0972103148473289	0.282999985031022	-0.196838003263806	0.19290605361043	0.186437262446833	0.223905354124385	0.13424072703721	0.123591925053609	0.110103094782717	0.126100896817448	0.256179482419037	0.185722139477016
CV_62	-0.0975799163142018	0.287476343689784	-0.197428616971686	0.194576436147682	0.188027672909546	0.225904103678406	0.135413194952962	0.123842838477688	0.110766905919001	0.127344210007211	0.259209449164761	0.186289570078954
CV_63	-0.0958621160846096	0.267024378638945	-0.194663525075798	0.186915653887899	0.180672097029976	0.216881248282118	0.13001303180045	0.122644526129193	0.10772222052693	0.12163294132541	0.245224006600712	0.183626317227627
CV_64	-0.099734002353632	0.313463470776571	-0.200922906010595	0.204190034882434	0.197336966772749	0.237322251796938	0.142169809023062	0.125338383489713	0.114657733366077	0.134512590651855	0.276837665636899	0.189597192903465
CV_65	-0.0975799163142018	0.287476343689784	-0.197428616971686	0.194576436147682	0.188027672909546	0.225904103678406	0.135413194952962	0.123842838477688	0.110766905919001	0.127344210007211	0.259209449164761	0.186289570078954
CV_66	-0.099734002353632	0.313463470776571	-0.200922906010595	0.204190034882434	0.197336966772749	0.237322251796938	0.142169809023062	0.125338383489713	0.114657733366077	0.134512590651855	0.276837665636899	0.189597192903465
CV_67	-0.0972103148473289	0.282999985031022	-0.196838003263806	0.19290605361043	0.186437262446833	0.223905354124385	0.13424072703721	0.123591925053609	0.110103094782717	0.126100896817448	0.256179482419037	0.185722139477016
